#{"t_start": 1770201107.09923, "env_id": "None"}
r,l,t
-22.922593,1,2.513993
-44.733198,1,2.513993
-53.284252,1,2.528757
-40.943746,1,2.529908
-19.196864,1,2.529908
-13.60339,1,2.529908
-42.20718,1,2.529908
-59.045922,1,2.529908
-6.281026,1,2.529908
-32.313228,1,2.529908
-45.227962,1,2.529908
-20.559351,1,2.529908
100.0,1,2.543609
-19.093846,1,2.543609
-40.874866,1,2.543609
-43.75371,1,2.543609
-53.382307,1,2.543609
-59.18497,1,2.559597
-37.742071,1,2.561747
-35.633894,1,2.562068
-22.168979,1,2.564542
-15.776162,1,2.565546
-9.963557,1,2.566566
-35.146302,1,2.566566
-55.567419,1,2.569474
-39.022958,1,2.569474
-39.116502,1,2.576003
-20.309147,1,2.579197
-73.379051,1,2.582192
-29.177707,1,2.584198
-34.662799,1,2.587208
-41.077687,1,2.590207
-31.053473,1,2.590207
-11.513367,1,2.590207
-44.025005,1,2.590207
-39.011982,1,2.590207
-37.7884,1,2.590207
-24.790259,1,2.590207
-23.970327,1,2.60621
-44.86257,1,2.609141
-53.066866,1,2.609141
-16.390906,1,2.609141
-28.068861,1,2.609141
-35.174882,1,2.609141
-54.158922,1,2.622125
-38.782343,1,2.622125
-22.997673,1,2.622125
-46.168893,1,2.622125
-31.854722,1,2.622125
-53.227209,1,2.622125
-29.988847,1,2.622125
-45.989779,1,2.622125
-54.373686,1,2.622125
-39.376841,1,2.622125
-5.773205,1,2.622125
-12.226761,1,2.622125
-42.73232,1,2.638288
-6.725216,1,2.638288
-42.893649,1,2.638288
-20.961248,1,2.638288
-8.56524,1,2.638288
-46.098674,1,2.638288
-46.964352,1,2.638288
-10.041171,1,2.638288
-23.392012,1,2.638288
-47.790765,1,2.638288
-34.386817,1,2.638288
-48.41178,1,2.654415
-26.071905,1,2.654415
-68.734602,1,2.654415
-54.507225,1,2.654415
-47.371011,1,2.654415
-33.71829,1,2.654415
-55.088364,1,2.654415
-47.634063,1,2.654415
-24.09296,1,2.654415
-8.692737,1,2.654415
-32.591102,1,2.654415
-62.397184,1,2.671595
-35.577104,1,2.673143
-56.006474,1,2.674632
-16.859999,1,2.675858
-55.960404,1,2.676849
-32.861525,1,2.676849
-15.344029,1,2.680459
-43.688894,1,2.681564
-6.436507,1,2.682565
-42.136652,1,2.684561
-49.208694,1,2.685564
-37.6597,1,2.686568
-62.016236,1,2.68855
100.0,1,2.68957
-16.972452,1,2.69157
-42.637952,1,2.692569
-49.502521,1,2.693572
-28.880941,1,2.694592
-14.886356,1,2.694592
-43.859605,1,2.694592
-54.537516,1,2.694592
-23.676667,1,2.694592
-41.088939,1,2.694592
-25.882076,1,2.694592
-11.0302,1,2.694592
-35.843835,1,2.694592
-53.664021,1,2.694592
-49.711167,1,2.694592
-37.504352,1,2.694592
-26.226702,1,2.710833
-63.380416,1,2.710833
-37.107768,1,2.710833
-35.934517,1,2.710833
-45.856046,1,2.710833
-39.408365,1,2.710833
-39.258225,1,2.710833
-47.011214,1,2.710833
-41.402752,1,2.710833
-54.298638,1,2.710833
-32.575565,1,2.710833
-25.407773,1,2.710833
-26.968919,1,2.728796
-12.859295,1,2.729921
-48.857353,1,2.730923
-65.10481,1,2.732924
-11.831224,1,2.733921
-54.219618,1,2.735047
-56.130618,1,2.737187
-28.580554,1,2.737187
-41.560865,1,2.737187
-24.138856,1,2.737187
-12.974421,1,2.737187
-28.162622,1,2.737187
-40.215338,1,2.737187
-42.26767,1,2.737187
-27.449345,1,2.737187
-39.556039,1,2.737187
-42.768601,1,2.750854
-22.590397,1,2.75287
-39.568442,1,2.754881
-11.58146,1,2.758898
-44.589417,1,2.760906
-21.044286,1,2.762914
-9.384542,1,2.768687
-58.030984,1,2.770697
-48.721293,1,2.770697
100.0,1,2.772705
-12.555575,1,2.774713
-48.790287,1,2.774713
-21.579307,1,2.776721
-20.334819,1,2.778729
-23.682028,1,2.778729
-44.251026,1,2.780737
-28.884255,1,2.78249
-38.482679,1,2.786293
-30.036273,1,2.788296
-45.645201,1,2.791291
-10.341443,1,2.791291
-44.32979,1,2.791291
-39.301215,1,2.798667
-24.714056,1,2.798667
-26.375305,1,2.798667
-10.740848,1,2.798667
100.0,1,2.805117
-41.338257,1,2.805759
-21.785325,1,2.805759
-41.47424,1,2.805759
-48.816676,1,2.805759
-34.018099,1,2.812946
-10.122883,1,2.812946
-29.647312,1,2.812946
-42.91888,1,2.812946
-11.356348,1,2.819176
-35.550682,1,2.8198
-35.128845,1,2.8198
-20.218568,1,2.8198
-49.382122,1,2.825988
-36.685459,1,2.827686
-39.483072,1,2.829693
-68.099753,1,2.829693
-46.269202,1,2.829693
-62.148119,1,2.833371
-40.481852,1,2.833371
-26.092184,1,2.839935
